Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
255,2.5059855727216056,38.40776976198232,[-1.34308708  4.71027849  6.6145616 ],[2.13318709 5.80679384 0.7589571 ]
256,2.807399781442638,5.657326756315585,[-5.79610887 -2.08561372  1.04262518],[-3.26427979 -0.20238478 -6.67620582]
263,2.0177600048011075,1448.867181310612,[5.30484186 1.91532437 6.62921312],[5.84885138 2.04431717 6.02594028]
271,1.952459239126758,70.08211874419459,[-5.9041352   1.71381928  4.77194905],[ 3.71455302  4.96355427 -5.59249688]
272,4.427781622283984,13.52017237369165,[-5.29852583  1.17827775  6.61261335],[-6.08513076  1.15293673  5.79303854]
273,2.216594522639684,515.7232722109777,[-0.91613716 -3.38583132  6.61863482],[ 6.17471056 -0.47054205 -2.26024492]
277,1.6674094933025572,121.72729616853378,[-5.7496944  -0.84047869  6.62531359],[ 4.59340115  4.15479905 -3.76624218]
279,2.467722767144034,405.83860720228466,[2.51976815 3.85529791 6.61118301],[4.56664288 4.17524026 3.33101195]
281,5.979374892513074,350.3376733864257,[ 3.5359918  -4.00294401  6.6107941 ],[-0.44218644 -4.07357114 -6.68711038]
285,5.186097404977449,131.2679854426167,[-4.32003197 -1.19207435  6.62903455],[-5.97424114 -1.68599094  4.77012749]
296,1.223197845969056,525.241524392283,[4.4642593  3.55516343 6.62205489],[4.81047978 3.90035204 6.25381102]
300,3.3763349602509574,117.81721171620094,[0.60795676 1.37419456 6.61586203],[-2.48525303  0.95571393 -6.68298275]
306,0.3971214494033223,987.2121849207025,[-0.14361015  5.37332542  6.62990681],[1.45281521 6.00604486 2.50227463]
309,4.705357009791069,139.6999521938961,[-2.1879417  -1.82838312  6.61504664],[-5.39531417 -3.07167581  3.40759488]
311,2.7367663120821835,2.8219765573158453,[ 4.85554818 -2.50816023  6.61487659],[ 5.82555712 -2.07233448  4.15204449]
317,2.4700337136438266,37.803327871765724,[-3.821805    0.47900378  6.62306041],[ 4.44948256  3.72417388 -6.67040204]
318,3.8157333648648937,74.79215226548409,[-4.36995242  0.48997767  6.62755094],[-6.18760426  0.09442219  3.71570305]
321,3.90249071428202,168.06170130565462,[-0.01740697  4.16810993  6.62112367],[-4.84751919  3.84666927 -0.38338265]
329,4.995585177546549,122.42767265919565,[-4.58798941  0.98808395  6.62349798],[-6.15889708  0.71846387  4.98742086]
337,1.4918619746419406,8.86227371194809,[-1.82657411  2.99064266  6.62548143],[1.86747027 5.90507497 2.91989899]
339,1.0994562430546275,112.54316142701776,[-0.17960431 -3.74061989  6.62458519],[ 5.46127318 -2.9069594   0.29335392]
341,5.295278339442545,14.977350851783077,[-4.90339751 -3.33978891  6.6166006 ],[-5.14968398 -3.44331457  6.32160283]
351,0.4709427950666736,232.37402902226162,[-4.27489668  3.03315014  6.61212834],[ 1.75711944  3.20850582 -6.68225522]
354,6.187489002672232,114.14522052386907,[-1.1310996   1.85111975  6.61381361],[-2.40156473  1.45103729 -6.68248152]
358,2.848083443079,167.1915977035564,[-1.47597377 -2.43423883  6.61066775],[ 2.36978672 -1.94467399 -6.68205906]
370,1.978586311886025,74.21103934704104,[4.75564043 0.7697201  6.61869652],[6.148592   0.85165541 5.10131928]
374,6.0886335852292905,372.8388799469426,[-4.58282654 -1.76848405  6.61852211],[-5.73049521 -2.30815721  0.68210215]
375,5.5218211703724975,58.8473321779293,[-4.6026634  -2.51246689  6.61774775],[-5.55439209 -2.74477907  5.23825003]
376,5.450628833909488,16.7475279154791,[-3.88398279 -3.15673907  6.6279734 ],[-4.81262363 -3.89034152  5.37246675]
377,6.097611116834219,11.280843196364202,[0.88256584 4.7485596  6.61477014],[-1.57055631  3.88222644 -6.68049973]
379,4.974234409315908,45.092825596994736,[-3.98874763  0.54981612  6.63122932],[-6.04405921 -1.35337529  4.50338795]
381,2.0130535895774324,27.628491447371058,[-6.13575231  0.37219579  1.30993936],[ 1.08063511  0.82056747 -6.67466345]
382,4.522558815350036,32.51126464111639,[-2.18337519  0.22796611  6.61893053],[-6.20258959 -0.01161761  2.52619545]
386,0.32828241340004116,25.91581341247977,[-6.13465063  0.60097635  1.19123336],[-3.5996036   1.62510919 -6.67138553]
387,0.42015642548042886,17.574122537507215,[ 2.34629711 -4.19034744  6.61020206],[ 4.56520199 -4.17047788  1.17042015]
390,4.957081644990537,577.463725026426,[5.67330315 2.36119577 5.63627852],[-6.20424221 -0.27443977 -6.60594019]
394,0.5899199189712581,374.20044339086536,[ 2.06282136 -2.34663814  6.6221489 ],[ 5.9566365  -1.68462526 -0.37740851]
399,5.236451465746366,138.0837786167192,[2.38950356 5.67223215 5.63284079],[-3.96828569  4.75098295 -1.71046865]
